code_id, code_header_id, code_name, code_description, code_sort_order, valid_from, valid_to, created_at,updated_at, created_by_user_id, updated_by_user_id
1,1,C,coarse-textured soils,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
2,1,F,fine-textured soils,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
3,1,G,gently sloping (alpine only),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
4,1,L,shallow (lithic) soils,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
5,1,M,moist soils,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
6,1,N,cool (northerly) aspect (west northwest to southeast),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
7,1,S,"steep, warm (southerly) aspect (southeast to west)",,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
8,1,T,"moderate sloped, warm (southerly) aspect (southeast to west)",,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
9,1,U,"upper elevation, gentle slope (forested areas)",,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
10,2,A,> 50 m above canopy,4,2009-10-09 00:00:00,2020-10-21 11:10:23.027952,2000-12-13 00:00:00,2020-10-21 11:10:23.027952,1,1
11,2,BH,10-50 m above canopy,3,2009-10-09 00:00:00,2020-10-21 11:10:23.027952,2000-12-13 00:00:00,2020-10-21 11:10:23.027952,1,1
12,2,BL,< 10 m above canopy,2,2009-10-09 00:00:00,2020-10-21 11:10:23.027952,2000-12-13 00:00:00,2020-10-21 11:10:23.027952,1,1
13,2,C,below canopy,1,2009-10-09 00:00:00,2020-10-21 11:10:23.027952,2000-12-13 00:00:00,2020-10-21 11:10:23.027952,1,1
14,2,U,unknown,5,2009-10-09 00:00:00,2020-10-21 11:10:23.027952,2000-12-13 00:00:00,2020-10-21 11:10:23.027952,1,1
15,3,J,Jet Sounds,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
16,3,K,Keer call (typical),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
17,3,KQ,Keer to Quack Series,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
18,3,O,Other,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
19,3,Q,Quack (alternate),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
20,3,W,Wingbeats,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
21,4,1,Animal Song,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
22,4,3,Drumming,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
23,4,K,Keer Call,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
24,4,KQ,Keer To Quack series,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
25,4,O,Other,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
26,5,AC,Artificial Cover Object (salamanders),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
27,5,AS,Aspirator (arthropods),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
28,5,CC,Culvert/barrel traps (bears),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
29,5,CF,Funnel trap (amphibians and reptiles),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
30,5,CL,Longworth trap,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
31,5,CM,Mesh Cage-like trap,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
32,5,CN,Minnow trap (pond dwelling amphibians),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
33,5,CP,Harp trap (bats),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
34,5,CT,Model 205 Tomahawk Traps (Martens and Weasels),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
35,5,CW,Throw trap (amphibian larvae),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
36,5,CX,Side Box trap,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
37,5,DA,Darting - aerial (bears),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
38,5,DG,Darting - ground (cougars),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
39,5,FL,Light trap,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
40,5,FM,Malaise trap,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
41,5,FP,Pan/Window trap,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
42,5,LP,Padded Leg-hold traps (small mammals; wolves),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
43,5,NA,Aerial net (arthropods),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
44,5,NH,Net (handheld; dip),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
45,5,NM,Net (mist),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
46,5,NS,Seine net,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
47,5,PF,Floating pitfall trap - (pond turtles),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
48,5,PT,Pitfall trap - a hole in the ground into which an unwary animal falls. e.g. a can or bucket placed into the ground so the rims is flush with the surface,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
49,5,SF,Snares - foot (bears),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
50,5,SG,"Generic household mouse trap - suitable for mice, voles and shrews",,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
51,5,SM,"Museum Special Mouse Trap - suitable for mice, voles and smaller chipmunks and squirrels",,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
52,5,SO,Snares - Other,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
53,5,SV,"Victor Rap Trap - suitable for Rattus and small mammal in the 100-200 g range, but which also capture mice and voles",,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
54,5,TB,Beating trays (arthropods),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
55,5,TS,Sifting trays (arthropods),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
56,6,A TT,Above Tree Tops,9,2020-02-12 00:00:00,,2000-12-13 00:00:00,2020-02-12 00:00:00,1,1
57,6,B TT,Below Tree Tops,7,2020-02-12 00:00:00,,2000-12-13 00:00:00,2020-02-12 00:00:00,1,1
58,6,A RT,Above Ridge Tops,10,2020-02-12 00:00:00,,2000-12-13 00:00:00,2020-02-12 00:00:00,1,1
59,6,B RT,Below Ridge Tops,8,2020-02-12 00:00:00,,2000-12-13 00:00:00,2020-02-12 00:00:00,1,1
60,6,H,High,1,2020-02-12 00:00:00,,2000-12-13 00:00:00,2020-02-12 00:00:00,1,1
61,6,V H,Very High,6,2020-02-12 00:00:00,,2000-12-13 00:00:00,2020-02-12 00:00:00,1,1
62,7,ALLA,Alice Lake,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
63,7,ALST,Alston,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
64,7,ATLU,Atluck,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
65,7,BONA,Bonanza,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
66,7,BREW,Brewster,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
67,7,CARI,Cameron River,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
68,7,CACR,Camper Creek,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
69,7,CAYC,Caycuse,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
70,7,CAYU,Cayuse,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
71,7,CHEE,Cheewat,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
72,7,COCA,Copper Canyon,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
73,7,DAVI,Davie,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
74,7,ELCR,Elk Creek,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
75,7,EVRI,Eve River,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
76,7,FLEE,Fleet,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
77,7,FROS,Frost,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
78,7,GORI,Gold River,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
79,7,HARR,Harris,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
80,7,HERI,Heber River,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
81,7,JAIS,James Island,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
82,7,KAIP,Kaipit,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
83,7,KEOG,Keogh,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
84,7,KLAN,Klanawa,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
85,7,LENS,Lens,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
86,7,LINI,Little Nitinat,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
87,7,LOGO,Lower Gordon,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
88,7,MAHA,Mahatta,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
89,7,MEME,Memekay,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
90,7,MUCH,Muchalat,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
91,7,NARI,Naniamo River,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
92,7,NALA,Nanimo Lakes,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
93,7,NAWH,Nawhitti,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
94,7,NITI,Nitinat,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
95,7,PACH,Pachena,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
96,7,RUPE,Rupert,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
97,7,SAJU,San Juan,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
98,7,SIIS,Sidney Island,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
99,7,SUJO,Sooke-Upper Jordan,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
100,7,TAHS,Tahsish,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
101,7,TSIT,Tsitika,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
102,7,UCON,Ucona,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
103,7,UPAD,Upper Adam,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
104,7,UPGO,Upper Gordon,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
105,7,VILA,Victoria Lake,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
106,7,WALB,Walbran,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
107,7,WOLA,Woss Lake,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
108,7,AAAA,A,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
109,7,CCCC,C,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
110,7,DDDD,D,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
111,7,ITCH,Itchas,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
112,7,ITFL,Itchas Flats,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
113,7,BABI,Babine,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
114,7,BUVA,Bulkley Valley,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
115,7,LEMO,Level Mountain,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
116,7,LOSK,Lower Skeena,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
